name,image_src,url,table_check,qualification,expertise
ผศ. นพ.ธเนศ ชัยสถาผล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587710466_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B9%80%E0%B8%99%E0%B8%A8_%E0%B8%8A%E0%B8%B1%E0%B8%A2%E0%B8%AA%E0%B8%96%E0%B8%B2%E0%B8%9C%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=680,"พุธ 16:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5",,อายุรศาสตร์โรคติดเชื้อ
ผศ. นพ.ธเนศ อริยะวัตรกุล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587715029_%E0%B8%AD.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B9%80%E0%B8%99%E0%B8%A8_%E0%B8%AD%E0%B8%A3%E0%B8%B4%E0%B8%A2%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%95%E0%B8%A3%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=584,"เสาร์ 08:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2549วุฒิบัตรสาขาศัลยศาสตร์ออร์โธปิดิกส์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2556ผู้เชี่ยวชาญเฉพาะทาง สาขาการผ่าตัดกระดูกสันหลัง คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2557ผู้เชี่ยวชาญเฉพาะทาง สาขากุมารศัลยศาสตร์ออร์โธปิดิกส์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ. 2558,โรคกระดูกและข้อในเด็ก โรคกระดูกสันหลังในเด็ก โรคกรัดูกสันหลัง
รศ. นพ.ธรรมนูญ สุรชาติกำธรกุล,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587718969_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%99%E0%B8%B9%E0%B8%8D_%E0%B8%AA%E0%B8%B8%E0%B8%A3%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%81%E0%B8%B3%E0%B8%98%E0%B8%A3%E0%B8%81%E0%B8%B8%E0%B8%A5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=374,"จันทร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 14:30 - 17:30 น. สัปดาห์ที่ 1,2,3,4,5",การถนอมสายตา,จักษุเด็กและตาเข
รศ. นพ.ธรรมวัฒน์ ปรคนธรรพ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588042541_%E0%B8%AD.%E0%B8%99%E0%B8%9E._%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C_%E0%B8%9B%E0%B8%A3%E0%B8%84%E0%B8%99%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%9E%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=402,"พุธ 09:00 - 12:00 น. สัปดาห์ที่ 2,4 ศุกร์ 17:00 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลวุฒิบัตรศัลยศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลResearch Fellow, University of HeidelbergประเทศเยอรมันReseach Fellow German Cancer Research CenterประเทศเยอรมันClinical Fellow, Tokyo Medical and Dental Universityประเทศญี่ปุ่น",การผ่าตัดกระเพาะอาหาร และหลอดอาหาร การผ่าตัดโดยการส่องกล้อง
รศ. นพ.ธวัชชัย ทวีมั่นคงทรัพย์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587707180_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%A7%E0%B8%B1%E0%B8%8A%E0%B8%8A%E0%B8%B1%E0%B8%A2_%E0%B8%97%E0%B8%A7%E0%B8%B5%E0%B8%A1%E0%B8%B1%E0%B9%88%E0%B8%99%E0%B8%84%E0%B8%87%E0%B8%97%E0%B8%A3%E0%B8%B1%E0%B8%9E%E0%B8%A2%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=243,"พฤหัสบดี 16:30 - 19:30 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 09:30 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",ปัสสาวะบ่อย ปัสสาวะขัดกระเพาะปัสสาวะอักเสบหรือเปล่า?,ศัลยศาสตร์ยูโร
รศ. นพ.ธวัชชัย พีรพัฒน์ดิษฐ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587703191_%E0%B8%A3%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%A7%E0%B8%B1%E0%B8%8A%E0%B8%8A%E0%B8%B1%E0%B8%A2_%E0%B8%9E%E0%B8%B5%E0%B8%A3%E0%B8%9E%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B9%8C%E0%B8%94%E0%B8%B4%E0%B8%A9%E0%B8%90%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=182,"จันทร์ 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 16:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 16:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 07:30 - 08:30 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2521แพทย์ประจำบ้าน สาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2527แพทย์ประจำบ้าน สาขาอายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2537,ต่อมไร้ท่อและเมตะบอลิสม
อ. นพ.ธวัชชัย มั่นคงศรีสุข,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1646901676_THAWATCHAI.M.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1207,"จันทร์ 09:00 - 10:40 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2553วุฒิบัตรสาขาศัลยศาสตร์ยูโรวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2559ประกาศนียบัตรระบบทางเดินปัสสาวะและสืบพันธุ์เด็ก มหาวิทยาลัยออตตาวา ประเทศแคนาดา พ.ศ.2563ประกาศนียบัตรสุขภาพเพศชาย มหาวิทยาลัยออตตาวา ประเทศแคนาดา พ.ศ.2564,ศัลยศาสตร์ยูโร
ศ. นพ.ธวัชชัย อัครวิพุธ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587705635_%E0%B8%A8.%E0%B8%99%E0%B8%9E._%E0%B8%98%E0%B8%A7%E0%B8%B1%E0%B8%8A%E0%B8%8A%E0%B8%B1%E0%B8%A2_%E0%B8%AD%E0%B8%B1%E0%B8%84%E0%B8%A3%E0%B8%A7%E0%B8%B4%E0%B8%9E%E0%B8%B8%E0%B8%98.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=219,"อาทิตย์ 15:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2535ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก มหาวิทยาลัยมหิดล พ.ศ.2537วุฒิบัตรสาขาศัลยศาสตร์ แพทยสภา พ.ศ.2539'Doktors der Mcdizin', University Hospital Eppendorf, Hamburg ประเทศเยอรมนี พ.ศ.2546",ศัลยศาสตร์ทั่วไป
ผศ. พญ.ธัญญา เตชะพิเชฐวนิช,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587712544_%E0%B8%AD.%E0%B8%9E%E0%B8%8D.%E0%B8%98%E0%B8%B1%E0%B8%8D%E0%B8%8D%E0%B8%B2_%E0%B9%80%E0%B8%95%E0%B8%8A%E0%B8%B0%E0%B8%9E%E0%B8%B4%E0%B9%80%E0%B8%8A%E0%B8%90%E0%B8%A7%E0%B8%99%E0%B8%B4%E0%B8%8A.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=659,"ศุกร์ 13:00 - 15:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 15:30 - 19:00 น. สัปดาห์ที่ 1,2,3,4,5",ริ้วรอย ปัญหาที่ดูแลได้ด้วยโบท็อกซ์,โรคผิวหนัง ศัลยกรรมเลเซอร์และความงาม การรักษาริ้วรอยด้วยสารโบท็อกและการฉีดสารเติมเต็ม มะเร็งผิวหนัง และการผ่าตัดเนื้องอก
ผศ. นพ.ธัญเดช นิมมานวุฒิพงษ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587705721_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E._%E0%B8%98%E0%B8%B1%E0%B8%8D%E0%B9%80%E0%B8%94%E0%B8%8A_%E0%B8%99%E0%B8%B4%E0%B8%A1%E0%B8%A1%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B8%E0%B8%92%E0%B8%B4%E0%B8%9E%E0%B8%87%E0%B8%A9%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=220,"พฤหัสบดี 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",อย่าให้ลำไส้แปรปรวนรบกวนชีวิตคุณ,"ภาวะโรคมะเร็งทางเดินอาหาร, ภาควะโรคอ้วน, การให้สารอาหารทางหลอดเลือดและทางเดินอาหาร"
พญ.ธันยพร ชื่นจิตกุลถาวร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1655718276_Thanyaporn.chun.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1209,,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2553วุฒิบัตรสาขาอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2560วุฒิบัตรอนุสาขาอายุรศาสตร์โรคระบบหายใจและภาวะวิกฤตโรคระบบการหายใจ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2562,อายุรศาสตร์โรคระบบทางเดินหายใจ
นพ.ธันยวัจน์ ปรางค์บุณยรัตน์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587714399_%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%B1%E0%B8%99%E0%B8%A2%E0%B8%A7%E0%B8%B1%E0%B8%88%E0%B8%99%E0%B9%8C_%E0%B8%9B%E0%B8%A3%E0%B8%B2%E0%B8%87%E0%B8%84%E0%B9%8C%E0%B8%9A%E0%B8%B8%E0%B8%93%E0%B8%A2%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=344,"จันทร์ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 17:00 น. สัปดาห์ที่ 1,2,3,4,5 อังคาร 09:00 - 10:30 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 พุธ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 11:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 13:00 - 14:15 น. สัปดาห์ที่ 1,2,3,4,5 14:30 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 อาทิตย์ 09:00 - 12:00 น. สัปดาห์ที่ 2,4",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ มหาวิทยาลัยธรรมศาสตร์ พ.ศ.2544วุฒิบัตรอายุรศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2550วุฒิบัตรอายุรศาสตร์โรคระบบทางเดินอาหาร คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2554ประกาศนียบัตรการอบรมหลักสูตร EUS-ERCP คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2556,อายุรศาสตร์โรคระบบทางเดินอาหาร
พญ.ธันยา ปิติยะกูลชร,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1111,,เฝ้าระวังศีรษะกระแทก 72 ชั่วโมง,เวชศาสตร์ฉุกเฉิน
รศ. พญ.ธันยารัตน์ วงศ์วนานุรักษ์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587631678_%E0%B8%A3%E0%B8%A8.%E0%B8%9E%E0%B8%8D.%E0%B8%98%E0%B8%B1%E0%B8%99%E0%B8%A2%E0%B8%B2%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B9%8C_%E0%B8%A7%E0%B8%87%E0%B8%A8%E0%B9%8C%E0%B8%A7%E0%B8%99%E0%B8%B2%E0%B8%99%E0%B8%B8%E0%B8%A3%E0%B8%B1%E0%B8%81%E0%B8%A9%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=39,"จันทร์ 09:00 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5","พ.บ. คณะแพทยศาสตร์ศิริราชพยาบาล, แพทยสภาป.บัณฑิต (สูติศาสตร์-นรีเวชวิทยา) คณะแพทยศาสตร์ศิริราชพยาบาลว.ว.(สูติศาสตร์-นรีเวชวิทยา) คณะแพทยศาสตร์ศิริราชพยาบาล, แพทยสภาว.ว.(เวชศาสตร์การเจริญพันธุ์) คณะแพทยศาสตร์ศิริราชพยาบาล, แพทยสภาResearch fellow of Gynecologic Infertility and Endocrinology, Saitama University, Saitama,ประเทศญี่ปุ่น",เวชศาสตร์การเจริญพันธุ์
ทพญ.ธันวดี อิ่มสมบัติ,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1588122630_%E0%B8%97%E0%B8%9E%E0%B8%8D.%E0%B8%98%E0%B8%B1%E0%B8%99%E0%B8%A7%E0%B8%94%E0%B8%B5_%E0%B8%84%E0%B8%B9%E0%B8%AA%E0%B8%B3%E0%B8%A3%E0%B8%B2%E0%B8%8D.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=716,,ทันตแพทยศาสตร์บัณฑิต คณะทันตแพทยศาสตร์ จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2553ประกาศนียบัตรชั้นสูงทางวิทยาศาสตร์การแพทย์คลินิก (ปริทันตวิทยา) จุฬาลงกรณ์มหาวิทยาลัย พ.ศ.2558วุฒิบัตรปริทันตวิทยา ทันตแพทยสภา พ.ศ.2560,ปริทันตวิทยา
รศ. นพ.ธาดา คุณาวิศรุต,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587711467_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%B2%E0%B8%94%E0%B8%B2_%E0%B8%84%E0%B8%B8%E0%B8%93%E0%B8%B2%E0%B8%A7%E0%B8%B4%E0%B8%A8%E0%B8%A3%E0%B8%B8%E0%B8%95.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=303,"ศุกร์ 09:30 - 11:30 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 08:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5","แพทยศาสตร์บัณฑิต โรงพยาบาลรามาธิบดี พ.ศ.2542ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก มหาวิทยาลัยมหิดล พ.ศ.2545แพทย์ประจำบ้าน สาขาอายุรศาสตร์ โรงพยาบาลรามาธิบดี พ.ศ.2548Research Fellowship in Endocrinology, Johns Hopkins Universityพ.ศ.2549เฟลโลว์ สาขาอายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม โรงพยาบาลศิริราช พ.ศ.2552Visiting Scientist, The Mount Sinai Hospital, University of Torontoพ.ศ.2556",อายุรศาสตร์ต่อมไร้ท่อและเมตะบอลิสม
อ. พญ.ธาริณี รุ่งจิรจิตรานนท์,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1699350201_%E0%B8%AD._%E0%B8%9E%E0%B8%8D._%E0%B8%98%E0%B8%B2%E0%B8%A3%E0%B8%B4%E0%B8%93%E0%B8%B5_%E0%B8%A3%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B8%88%E0%B8%B4%E0%B8%A3%E0%B8%88%E0%B8%B4%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%99%E0%B8%99%E0%B8%97%E0%B9%8C.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1231,"จันทร์ 15:30 - 18:30 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 15:00 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่ พ.ศ.2554วุฒิบัตรสาขาอายุรศาสตร์โลหิตวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล พ.ศ.2560,โลหิตวิทยา
อ. พญ.ธิดารัตน์ ปุรณะชัยคีรี,https://www.siphhospital.com/assets/img/no_profile.png,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1130,"พุธ 15:00 - 21:00 น. สัปดาห์ที่ 2,3,4,5 15:30 - 20:00 น. สัปดาห์ที่ 1","แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลวุฒิบัตรสาขาจิตเวชศาสตร์เด็กและวัยรุ่น คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดลThe Family Institute at Northwestern University, M.S. Marriage and Family TherapyCertified Psychiatrist with specialization in Child and Adolescent PsychiatryLicensed to Practice Medicine from The Medical council of ThailandAssociate Licensed Marriage and Family Therapist in Illinois (ALMFT)","จิตเวชศาสตร์เด็กและวัยรุ่น ,ครอบครัวและคู่สมรสบำบัด"
อ. นพ.ธีรดนย์ ตรีชัยรัศมี,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1612148099_Teeradon.tree.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1180,,แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2558วุฒิบัตรสาขารังสีรักษาและมะเร็งวิทยา คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2562,รังสีแพทย์
รศ. นพ.ธีรพล วิทธิเวช,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587706910_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%B5%E0%B8%A3%E0%B8%9E%E0%B8%A5_%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%98%E0%B8%B4%E0%B9%80%E0%B8%A7%E0%B8%8A.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=236,"จันทร์ 10:00 - 12:30 น. สัปดาห์ที่ 1,2,3,4,5 14:00 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 ศุกร์ 14:30 - 16:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 13:00 - 14:00 น. สัปดาห์ที่ 5 13:00 - 15:45 น. สัปดาห์ที่ 1,2,3,4","พ.บ., ป.ชั้นสูง(ศัลยศาสตร์), ว.ว.(ประสาทศัลยศาสตร์)",ศัลยศาสตร์ระบบประสาท
นพ.ธีรยุทธ กนกรัตนา,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587705748_%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%B5%E0%B8%A3%E0%B8%A2%E0%B8%B8%E0%B8%97%E0%B8%98_%E0%B8%81%E0%B8%99%E0%B8%81%E0%B8%A3%E0%B8%B1%E0%B8%95%E0%B8%99%E0%B8%B2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=221,"อังคาร 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5 พฤหัสบดี 13:00 - 14:30 น. สัปดาห์ที่ 1,2,3,4,5 16:30 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตรบัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2541วุฒิบัตรสาขาศัลยศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2548,ศัลยศาสตร์ตับ ตับอ่อน และทางเดินน้ำดี
ศ.คลินิก เกียรติคุณ นพ.ธีรวิทย์ พันธุ์ชัยเพชร,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1615455045_Teeravit.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=259,"พุธ 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5 09:00 - 10:00 น. สัปดาห์ที่ 1,2,3,4,5","พ.บ., ป.ชั้นสูง(ศัลยศาสตร์), ว.ว.(ศัลยศาสตร์ทรวงอก),FRCST",ศัลยศาสตร์ทรวงอก
ผศ. นพ.ธีรวุฒิ ธรรมวิบูลย์ศรี,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1587712804_%E0%B8%9C%E0%B8%A8.%E0%B8%99%E0%B8%9E.%E0%B8%98%E0%B8%B5%E0%B8%A3%E0%B8%A7%E0%B8%B8%E0%B8%92%E0%B8%B4_%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%9A%E0%B8%B9%E0%B8%A5%E0%B8%A2%E0%B9%8C%E0%B8%A8%E0%B8%A3%E0%B8%B5.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=318,"ศุกร์ 09:00 - 12:00 น. สัปดาห์ที่ 1,2,3,4,5",แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2543ประกาศนียบัตรบัณฑิตทางวิทยาศาสตร์การแพทย์คลินิก (ศัลยศาสตร์) มหาวิทยาลัยมหิดล พ.ศ.2547ประกาศนียบัตรหลักสูตรพื้นฐานการผ่าตัด ราชวิทยาลัยศัลยแพทย์แห่งประเทศไทย พ.ศ.2547วุฒิบัตรผู้เชี่ยวชาญเฉพาะทางสาขาศัลยศาสตร์ออร์โธปิดิกส์ ราชวิทยาลัยศัลยแพทย์ออร์โธปิดิกส์แห่งประเทศไทย พ.ศ.2550,ศัลยศาสตร์ออร์โธปิดิกส์
รศ. นพ.เธียรชัย งามทิพย์วัฒนา,https://siph-space.sgp1.digitaloceanspaces.com/uploads%2Fprofile%2F1621390329_%E0%B8%A3%E0%B8%A8._%E0%B8%99%E0%B8%9E._%E0%B9%80%E0%B8%98%E0%B8%B5%E0%B8%A2%E0%B8%A3%E0%B8%8A%E0%B8%B1%E0%B8%A2_%E0%B8%87%E0%B8%B2%E0%B8%A1%E0%B8%97%E0%B8%B4%E0%B8%9E%E0%B8%A2%E0%B9%8C%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2.jpg,https://www.siphhospital.com/th/medical-services/doctor-biography?id=1192,"พุธ 14:30 - 18:00 น. สัปดาห์ที่ 1,2,3,4,5 เสาร์ 15:30 - 20:00 น. สัปดาห์ที่ 1,2,3,4,5",วิทยาศาสตร์บัณฑิต มหาวิทยาลัยมหิดล พ.ศ.2525แพทยศาสตร์บัณฑิต คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2527วุฒิบัตรสาขาจิตเวชศาสตร์ คณะแพทยศาสตร์ศิริราชพยาบาล มหาวิทยาลัยมหิดล พ.ศ.2531,จิตเวชศาสตร์
